nodeLabel,x,y,U1,U2
1,-0.214027,0.462136,8.929866,-5.961012
2,-0.247524,0.427185,6.411594,-5.303004
3,-0.289146,0.339986,3.505238,-3.602589
4,-0.300110,0.292712,2.617098,-2.813262
5,-0.307999,0.196042,1.414656,-1.484597
6,-0.301536,0.099214,0.865529,-0.271659
7,-0.283715,0.003802,0.805863,0.914776
8,-0.256076,-0.089250,1.162601,2.157769
9,-0.219293,-0.179081,1.984176,3.530871
10,-0.173399,-0.264608,3.350634,5.066974
11,-0.117807,-0.344150,5.404138,6.766932
12,-0.051198,-0.414656,8.348257,8.575324
13,-0.013126,-0.444749,10.133912,9.596711
14,0.073705,-0.487167,15.105034,11.031299
15,0.121644,-0.493941,17.940842,11.525978
16,0.169393,-0.486407,21.227789,11.887316
17,0.212353,-0.463436,24.754688,11.649298
18,0.246487,-0.428575,27.513321,11.047533
19,0.288871,-0.340909,32.006233,9.693675
20,0.300010,-0.293281,33.717159,8.770355
21,0.307999,-0.195849,36.015697,6.959722
22,0.301412,-0.098259,37.161789,5.045712
23,0.283304,-0.002117,37.192287,3.082085
24,0.255240,0.091611,36.341496,1.113961
25,0.218225,0.181346,34.637707,-0.753348
26,0.172091,0.266744,32.186138,-2.557346
27,0.116235,0.346100,28.997869,-4.260992
28,0.049317,0.416310,24.891979,-5.678707
29,0.011068,0.446176,22.686262,-6.212893
30,-0.076126,0.487811,17.439529,-6.930461
31,-0.124148,0.493928,14.610400,-6.980505
32,-0.171762,0.485593,11.548117,-6.574415
33,0.900000,-1.000000,24.282305,2.993834
34,0.800000,-1.000000,23.290684,4.668137
35,0.700000,-1.000000,22.289059,6.290751
36,0.600000,-1.000000,21.281425,7.872007
37,0.500000,-1.000000,20.313295,9.401636
38,0.400000,-1.000000,19.478104,10.810601
39,0.300000,-1.000000,18.839712,11.930859
40,0.200000,-1.000000,18.379896,12.539515
41,0.100000,-1.000000,17.969379,12.474339
42,0.000000,-1.000000,17.422903,11.724095
43,-0.100000,-1.000000,16.581226,10.437835
44,-0.200000,-1.000000,15.380054,8.871575
45,-0.300000,-1.000000,13.846839,7.259692
46,-0.400000,-1.000000,12.070737,5.766882
47,-0.500000,-1.000000,10.152619,4.482864
48,-0.600000,-1.000000,8.173554,3.426463
49,-0.700000,-1.000000,6.187894,2.575535
50,-0.800000,-1.000000,4.222017,1.870684
51,-0.900000,-1.000000,2.257593,1.176296
52,1.000000,-1.000000,25.278189,1.286278
53,-1.000000,-1.000000,0.000000,0.000000
54,1.000000,0.900000,26.760431,7.903071
55,1.000000,0.800000,28.547684,8.197538
56,1.000000,0.700000,30.414917,8.423954
57,1.000000,0.600000,32.342918,8.525437
58,1.000000,0.500000,34.284496,8.442085
59,1.000000,0.400000,36.146484,8.123320
60,1.000000,0.300000,37.818001,7.546107
61,1.000000,0.200000,39.172913,6.714818
62,1.000000,0.100000,40.089813,5.670586
63,1.000000,0.000000,40.469429,4.487226
64,1.000000,-0.100000,40.249928,3.272619
65,1.000000,-0.200000,39.439262,2.153800
66,1.000000,-0.300000,38.116318,1.240199
67,1.000000,-0.400000,36.411400,0.613031
68,1.000000,-0.500000,34.508392,0.321467
69,1.000000,-0.600000,32.523853,0.239836
70,1.000000,-0.700000,30.587252,0.398233
71,1.000000,-0.800000,28.745531,0.670805
72,1.000000,-0.900000,26.991245,0.981211
73,1.000000,1.000000,25.031458,7.598586
74,-0.900000,1.000000,2.283173,-1.227754
75,-0.800000,1.000000,4.239974,-1.986948
76,-0.700000,1.000000,6.168174,-2.771418
77,-0.600000,1.000000,8.045930,-3.692015
78,-0.500000,1.000000,9.797553,-4.779940
79,-0.400000,1.000000,11.331980,-5.956212
80,-0.300000,1.000000,12.563073,-7.063497
81,-0.200000,1.000000,13.459096,-7.871741
82,-0.100000,1.000000,14.096189,-8.150572
83,0.000000,1.000000,14.650121,-7.783201
84,0.100000,1.000000,15.299319,-6.822461
85,0.200000,1.000000,16.141153,-5.437449
86,0.300000,1.000000,17.183094,-3.830376
87,0.400000,1.000000,18.366137,-2.164734
88,0.500000,1.000000,19.598560,-0.529128
89,0.600000,1.000000,20.820866,1.065567
90,0.700000,1.000000,21.969229,2.632403
91,0.800000,1.000000,23.032042,4.224520
92,0.900000,1.000000,24.036041,5.884528
93,-1.000000,1.000000,0.000000,-0.000000
94,-1.000000,-0.900000,0.000000,0.000000
95,-1.000000,-0.800000,0.000000,0.000000
96,-1.000000,-0.700000,0.000000,-0.000000
97,-1.000000,-0.600000,0.000000,-0.000000
98,-1.000000,-0.500000,0.000000,-0.000000
99,-1.000000,-0.400000,0.000000,-0.000000
100,-1.000000,-0.300000,0.000000,-0.000000
